date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate
2018-05-22,-0.2400000000000091,0.20173747,0.5649999999999977,-0.4448999999999898,0.1400000000000005,-0.930499999999995,41.79999999999927,5778.0,-123.53645161290478,2.0,0.0,0.01
2018-05-23,-1.0799999999999983,0.20173747,0.5649999999999977,0.4987999999999886,-0.6400000000000006,-0.930499999999995,41.79999999999927,5778.0,-123.53645161290478,2.0,-0.0500000000000002,0.01
2018-05-24,-2.8499999999999943,0.20173747,0.5649999999999977,-0.2047999999999916,-0.0500000000000007,-0.930499999999995,41.79999999999927,5778.0,-123.53645161290478,2.0,-0.0299999999999998,0.01
2018-05-25,-1.1200000000000043,0.20173747,0.5649999999999977,0.095799999999997,0.6900000000000013,-0.930499999999995,41.79999999999927,-3620.0,-123.53645161290478,44.0,-0.0499999999999998,0.01
2018-05-29,1.4399999999999975,0.20173747,0.5649999999999977,0.6283999999999992,3.799999999999999,-0.930499999999995,41.79999999999927,-3620.0,-123.53645161290478,44.0,-0.1600000000000001,0.01
2018-05-30,-1.259999999999991,0.20173747,0.5649999999999977,-0.539599999999993,-2.08,-0.930499999999995,41.79999999999927,-3620.0,-123.53645161290478,44.0,0.0699999999999998,0.01
2018-05-31,-1.1700000000000017,0.20173747,0.5649999999999977,0.3162999999999982,0.4900000000000002,-0.930499999999995,41.79999999999927,-3620.0,-123.53645161290478,44.0,-0.0099999999999997,0.01
2018-06-01,-1.0499999999999972,0.0296363399999999,0.2259999999999991,-0.1629000000000076,-1.9699999999999989,0.7955999999999932,13.200000000000728,2072.0,29.05311827958212,31.0,0.06,0.1200000000000001
2018-06-04,0.75,0.0296363399999999,0.2259999999999991,-0.0017999999999886,-0.7200000000000006,0.7955999999999932,13.200000000000728,2072.0,29.05311827958212,31.0,0.0499999999999998,0.1200000000000001
2018-06-05,-0.7600000000000051,0.0296363399999999,0.2259999999999991,0.4392999999999887,-0.3399999999999998,0.7955999999999932,13.200000000000728,2072.0,29.05311827958212,31.0,-0.02,0.1200000000000001
2018-06-06,1.2099999999999935,0.0296363399999999,0.2259999999999991,-0.5114999999999981,-0.7599999999999998,0.7955999999999932,13.200000000000728,2072.0,29.05311827958212,31.0,0.0500000000000002,0.1200000000000001
2018-06-07,-0.1899999999999977,0.0296363399999999,0.2259999999999991,0.3200000000000074,0.4900000000000002,0.7955999999999932,13.200000000000728,2072.0,29.05311827958212,31.0,-0.04,0.1200000000000001
