date,oil_diff_target,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TermSpread,TreasuryYield,FedFundsRate,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2012-11-08,1.0100000000000051,-0.00573705,231.249,91.5375,18.49,98.0777,11753.4,347850.0,34301.6038577,6677.0,1.35,1.62,0.16,-4.1200000000000045,0.8199999999999932,2.7643136580352103,1.4766762108122882,85.746,87.7365,0.9773127489699268,0,-1.980000000000004,-7.1200000000000045,0,0,0,0
2012-11-09,-0.519999999999996,-0.00573705,231.249,91.6871,18.61,98.0777,11753.4,348939.0,34301.6038577,6709.0,1.34,1.61,0.16,0.5699999999999932,-2.1499999999999915,2.6205400206827636,1.5079259893886288,85.982,87.449,0.983224507998948,0,1.1799999999999926,-5.75,0,0,0,1
2012-11-12,-0.1800000000000068,-0.00573705,231.249,91.6871,16.68,98.0777,11753.4,348939.0,34301.6038577,6709.0,1.34,1.61,0.16,1.0100000000000051,0.7399999999999949,2.6205400206827636,1.507079434221243,85.96600000000001,87.135,0.986584036265565,0,-0.0799999999999983,-6.280000000000001,0,0,1,0
2012-11-13,0.9399999999999976,-0.00573705,231.249,91.7356,16.65,98.0777,11753.4,348939.0,34301.6038577,6709.0,1.32,1.59,0.16,-0.519999999999996,2.980000000000004,2.03240497932868,1.5020704132349392,85.31800000000001,86.8005,0.9829206052960526,0,-3.240000000000009,-6.689999999999998,0,0,0,0
2012-11-14,-0.8699999999999903,-0.00573705,231.249,91.7942,17.92,98.0777,11753.4,348939.0,34301.6038577,6709.0,1.34,1.59,0.16,-0.1800000000000068,-4.1200000000000045,0.6835422444882271,1.5278584944121492,85.68199999999999,86.5145,0.9903773355911436,0,1.8199999999999932,-5.720000000000013,0,0,0,0
2012-11-15,1.1700000000000017,-0.00573705,231.249,91.8837,17.99,98.0777,11753.4,348939.0,34301.6038577,6709.0,1.34,1.58,0.16,0.9399999999999976,0.5699999999999932,0.8565220370778562,1.5320913639102636,85.75800000000001,86.187,0.9950224511817328,0,0.3800000000000096,-6.549999999999997,0,0,0,0
2012-11-16,2.4299999999999926,-0.00573705,231.249,92.0095,16.41,98.0777,11753.4,347473.0,34301.6038577,6710.0,1.34,1.58,0.16,-0.8699999999999903,1.0100000000000051,0.9019257175621498,1.5138236704659986,85.86600000000001,86.018,0.9982329279918158,0,0.5400000000000063,-3.3799999999999955,0,0,0,1
2012-11-19,-2.5900000000000034,-0.00573705,231.249,91.5653,15.24,98.0777,11753.4,347473.0,34301.6038577,6710.0,1.36,1.61,0.16,1.1700000000000017,-0.519999999999996,1.2758017087306284,1.574460224966,86.564,86.05550000000001,1.0059089773460148,1,3.489999999999995,0.75,0,0,1,0
2012-11-20,0.6200000000000045,-0.00573705,231.249,91.556,15.08,98.0777,11753.4,347473.0,34301.6038577,6710.0,1.39,1.66,0.16,2.4299999999999926,-0.1800000000000068,1.961448444390011,1.6401459338151945,86.78,86.04599999999999,1.008530320991098,1,1.0799999999999983,-0.1900000000000119,0,0,0,0
2012-11-21,-0.0699999999999931,-0.00573705,231.249,91.6645,15.31,98.0777,11753.4,347473.0,34301.6038577,6710.0,1.42,1.69,0.16,-2.5900000000000034,0.9399999999999976,1.9369873515333025,1.618434835200189,86.932,86.13050000000001,1.0093056466640735,1,0.7600000000000051,1.6899999999999975,0,0,0,0
2012-11-23,0.269999999999996,-0.00573705,231.249,91.2616,15.14,98.0777,11753.4,347126.0,34301.6038577,6818.0,1.41,1.7,0.16,0.6200000000000045,-0.8699999999999903,1.8630942005169784,1.618546781594686,87.244,86.2015,1.0120937570691926,1,1.5600000000000025,1.4200000000000017,0,0,0,1
2012-11-26,-0.4699999999999988,-0.00573705,231.249,91.2789,15.5,98.0777,11753.4,347126.0,34301.6038577,6818.0,1.39,1.66,0.16,-0.0699999999999931,1.1700000000000017,1.8019489448927235,1.61866936905465,87.376,86.2735,1.0127791268465984,1,0.6599999999999966,1.4399999999999975,0,0,1,0
2012-11-27,-0.710000000000008,-0.00573705,231.249,91.2608,15.92,98.0777,11753.4,347126.0,34301.6038577,6818.0,1.37,1.64,0.16,0.269999999999996,2.4299999999999926,1.263693000692815,1.6209272037941709,86.92800000000001,86.338,1.0068336074497906,1,-2.239999999999995,1.2900000000000065,0,0,0,0
2012-11-28,1.5400000000000065,-0.00573705,231.249,91.33,15.51,98.0777,11753.4,347126.0,34301.6038577,6818.0,1.36,1.63,0.16,-0.4699999999999988,-2.5900000000000034,0.5388135113376494,1.6299979819167325,86.856,86.36049999999999,1.005737576785683,1,-0.3599999999999994,0.4499999999999886,0,0,0,0
2012-11-29,0.9000000000000057,-0.00573705,231.249,91.2104,15.06,98.0777,11753.4,347126.0,34301.6038577,6818.0,1.37,1.62,0.16,-0.710000000000008,0.6200000000000045,0.8819977324233946,1.661117173217436,86.968,86.431,1.0062130485589662,1,0.5600000000000023,1.4099999999999966,0,0,0,0
2012-11-30,0.1499999999999914,-0.00573705,231.249,91.1038,15.87,98.0777,11753.4,344769.0,34301.6038577,6817.0,1.37,1.62,0.16,1.5400000000000065,-0.0699999999999931,0.9369258241718028,1.6631120954719965,87.274,86.5055,1.0088838281958952,1,1.5300000000000011,1.490000000000009,0,0,0,1
2012-12-03,-0.6499999999999915,-0.17237745,231.221,91.0084,16.64,98.3101,11758.3,344769.0,33942.6038577,6817.0,1.38,1.63,0.16,0.9000000000000057,0.269999999999996,0.9396116218949256,1.578568555435753,87.556,86.69500000000001,1.0099313685910374,1,1.4099999999999966,3.789999999999992,0,0,1,0
2012-12-04,-0.6800000000000068,-0.17237745,231.221,90.9748,17.12,98.3101,11758.3,344769.0,33942.6038577,6817.0,1.37,1.62,0.16,0.1499999999999914,-0.4699999999999988,0.9782791012793892,1.5836466910599902,87.80199999999999,86.815,1.0113690030524678,1,1.230000000000004,2.4000000000000057,0,0,0,0
2012-12-05,-1.8900000000000008,-0.17237745,231.221,90.9423,16.46,98.3101,11758.3,344769.0,33942.6038577,6817.0,1.35,1.6,0.16,-0.6499999999999915,-0.710000000000008,0.9710149329438804,1.4407859697145542,88.054,86.75200000000001,1.015008299520472,1,1.2600000000000051,-1.2600000000000051,0,0,0,0
2012-12-06,-0.019999999999996,-0.17237745,231.221,91.0629,16.58,98.3101,11758.3,344769.0,33942.6038577,6817.0,1.34,1.59,0.16,-0.6800000000000068,1.5400000000000065,1.0425593508285305,1.1714016570353882,87.61999999999999,86.8005,1.009441189854897,1,-2.1700000000000017,0.9699999999999988,0,0,0,0
2012-12-07,-0.3100000000000023,-0.17237745,231.221,91.0437,15.9,98.3101,11758.3,344909.0,33942.6038577,6852.0,1.39,1.64,0.16,-1.8900000000000008,0.9000000000000057,0.8016046407051323,1.1649888185593935,87.002,86.81949999999999,1.002102062324708,1,-3.0900000000000034,0.3800000000000096,0,0,0,1
2012-12-10,0.2199999999999988,-0.17237745,231.221,90.9631,16.05,98.3101,11758.3,344909.0,33942.6038577,6852.0,1.39,1.63,0.16,-0.019999999999996,0.1499999999999914,0.7129165449055083,1.1430757215789111,86.292,86.77250000000001,0.9944625313319312,0,-3.549999999999997,-0.9399999999999976,0,0,1,0
2012-12-11,0.9899999999999948,-0.17237745,231.221,90.8403,15.57,98.3101,11758.3,344909.0,33942.6038577,6852.0,1.42,1.66,0.16,-0.3100000000000023,-0.6499999999999915,0.8280881595579102,1.1389283975460585,85.756,86.7625,0.9883993660855784,0,-2.680000000000007,-0.2000000000000028,0,0,0,0
2012-12-12,-0.9599999999999936,-0.17237745,231.221,90.7708,15.95,98.3101,11758.3,344909.0,33942.6038577,6852.0,1.47,1.72,0.16,0.2199999999999988,-0.6800000000000068,1.0598443281916463,1.15959736660255,85.554,86.811,0.9855202681687804,0,-1.0100000000000051,0.9699999999999988,0,0,0,0
2012-12-13,0.9299999999999926,-0.17237745,231.221,90.776,16.56,98.3101,11758.3,344909.0,33942.6038577,6852.0,1.47,1.74,0.16,0.9899999999999948,-1.8900000000000008,0.7150734228035598,1.1605455840386316,85.538,86.7645,0.9858640342536406,0,-0.0799999999999983,-0.9299999999999926,0,0,0,0
2012-12-14,0.3900000000000005,-0.17237745,231.221,90.7156,17.0,98.3101,11758.3,343945.0,33942.6038577,6863.0,1.48,1.72,0.16,-0.9599999999999936,-0.019999999999996,0.8306202501745279,1.1631141275404575,85.712,86.80799999999999,0.9873744355358954,0,0.8699999999999903,0.8699999999999903,0,0,0,1
2012-12-17,0.75,-0.17237745,231.221,90.6193,16.34,98.3101,11758.3,343945.0,33942.6038577,6863.0,1.53,1.78,0.16,0.9299999999999926,-0.3100000000000023,0.7864667825153169,1.136117465201918,86.026,86.8125,0.9909402447804176,0,1.5699999999999932,0.0899999999999892,0,0,1,0
2012-12-18,1.6300000000000097,-0.17237745,231.221,90.5161,15.57,98.3101,11758.3,343945.0,33942.6038577,6863.0,1.56,1.84,0.16,0.3900000000000005,0.2199999999999988,0.8061017305526609,1.0014750962560397,86.446,86.73299999999999,0.9966909942005928,0,2.0999999999999943,-1.5900000000000034,0,0,0,0
2012-12-19,0.6700000000000017,-0.17237745,231.221,90.4896,17.36,98.3101,11758.3,343945.0,33942.6038577,6863.0,1.54,1.82,0.16,0.75,0.9899999999999948,0.95609622946647,0.8821461568840249,86.994,86.86449999999999,1.00149082766838,1,2.740000000000009,2.6300000000000097,0,0,0,0
2012-12-20,-1.5600000000000025,-0.17237745,231.221,90.6002,17.67,98.3101,11758.3,343945.0,33942.6038577,6863.0,1.53,1.81,0.16,1.6300000000000097,-0.9599999999999936,0.4652741127550552,0.8836729568889349,87.86800000000001,86.99849999999999,1.0099944251912392,1,4.3700000000000045,2.680000000000007,0,0,0,0
2012-12-21,0.0900000000000034,-0.17237745,231.221,90.9597,17.84,98.3101,11758.3,343359.0,33942.6038577,6984.0,1.51,1.77,0.16,0.6700000000000017,0.9299999999999926,1.177616236301118,0.9611860819896,88.244,87.05799999999999,1.0136231018401527,1,1.8800000000000097,1.1899999999999975,0,0,0,1
2012-12-24,2.4199999999999875,-0.17237745,231.221,91.0354,17.84,98.3101,11758.3,343359.0,33942.6038577,6984.0,1.53,1.79,0.16,-1.5600000000000025,0.3900000000000005,1.1843479218540516,0.9599532609236175,88.55999999999999,87.1085,1.016663127019751,1,1.5800000000000125,1.0100000000000051,0,0,1,0
2012-12-26,0.2000000000000028,-0.17237745,231.221,91.0606,19.48,98.3101,11758.3,343359.0,33942.6038577,6984.0,1.51,1.77,0.16,0.0900000000000034,0.75,1.5240898923619943,1.086634107789055,89.21000000000001,87.3035,1.0218376124668542,1,3.25,3.899999999999991,0,0,0,0
2012-12-27,-0.25,-0.17237745,231.221,91.1037,19.47,98.3101,11758.3,343359.0,33942.6038577,6984.0,1.48,1.74,0.16,2.4199999999999875,1.6300000000000097,1.4251771819672074,1.065593360774317,89.574,87.54400000000001,1.023188339577812,1,1.8199999999999932,4.810000000000002,0,0,0,0
